Country name,Year,Happiness Rank,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
Spain,2017,29,6.354,10.4420948,0.903158188,74.09999847,0.755560756,-0.036033396,0.791268766,0.625055611,0.302387655,0.269585967,0.648078322,0.869333565,0.345384615,0.378949553
Sri Lanka,2017,125,4.366,9.364697456,0.822770596,67,0.827077389,0.088255383,0.844210029,0.794951618,0.269727528,0.517589927,-0.061903223,-0.169688806,0.3934,0.427296966
Sweden,2017,7,7.343,10.75682354,0.914016783,72.5,0.934582114,0.163362831,0.239366919,0.81354779,0.175066829,0.559461951,1.276802063,1.92774713,0.274153846,0.346856117
Switzerland,2017,6,7.48,10.95797634,0.949661374,73.80000305,0.924996912,0.17511341,0.316183478,0.773997068,0.195871487,0.819706738,1.382011414,1.964224815,0.3281,0.295817792
Taiwan Province of China,2017,25,6.446,10.18765523,0.891119123,74.67,0.75965476,-0.006738773,0.742780089,0.837277293,0.114123158,0.322822392,0.951502562,1.185329676,0.386038482,0.381671965
Tajikistan,2017,72,5.467,7.971400738,0.662693322,63.79999924,0.832002461,0.122264013,0.71833688,0.602667689,0.277725339,0.92979306,-1.195175648,-1.216368675,0.3266,0.367954314
Tanzania,2017,144,3.231,7.894804001,0.705010295,57,0.800495505,0.104961358,0.653606057,0.714645505,0.255335689,0.913339019,-0.435422927,-0.532890916,0.384666667,0.549375236
Thailand,2017,51,6.008,9.69754982,0.877268732,67,0.922896802,0.20539546,0.883816779,0.81632179,0.231597617,0.605078816,-0.902155161,0.045908973,0.396692308,0.513357759
Togo,2017,133,4.085,7.26529932,0.507805228,54.29999924,0.716694415,-0.042401545,0.725519598,0.614188969,0.425824255,0.48495236,-0.68079555,-0.833462834,0.437666667,0.552189291
Trinidad and Tobago,2017,38,6.192,10.26684761,0.916029036,63.5,0.859140456,-0.004832509,0.911336362,0.846467078,0.248098806,0.272540897,0.420911133,-0.046981119,0.386038482,0.415465385
Tunisia,2017,119,4.461,9.291855812,0.717381597,66.59999847,0.477956653,-0.23090978,0.868826747,0.420961887,0.377196848,0.250827312,-0.436561465,-0.128948361,0.381,0.414514333
Turkey,2017,77,5.373,10.13179111,0.876467824,66.40000153,0.644434214,-0.242938563,0.670910537,0.449800909,0.312846124,0.586161256,-1.252016187,-0.084349804,0.4058,0.326897621
Turkmenistan,2017,84,5.247,9.704366684,0.908454895,61.79999924,0.720399201,0.04387318,0.924456431,0.52088511,0.349627674,0.502155337,-1.153553963,-1.54598093,0.386038482,0.265776634
Uganda,2017,130,4.189,7.437033653,0.739956141,55.29999924,0.772344112,0.069051787,0.81577003,0.703375638,0.400025725,0.655109107,-0.575335741,-0.535237134,0.4322,0.640636981
Ukraine,2017,128,4.332,8.973908424,0.858324885,64.30000305,0.598875523,0.017136369,0.936764002,0.597112179,0.234763831,0.11093653,-0.9363603,-0.568998098,0.265,0.421145946
United Arab Emirates,2017,21,6.825,11.11681843,0.83552736,66.90000153,0.962016642,0.199402541,0.675587416,0.795034885,0.207598448,0.502155337,-0.234493166,1.085547447,0.386038482,0.600683749
United Kingdom,2017,15,7.054,10.59044647,0.937495291,72.09999847,0.812733293,0.286916465,0.418611348,0.758571804,0.20957242,0.440120846,0.797514439,1.662872434,0.341083333,0.372231811
United States,2017,19,6.892,10.90090561,0.921002865,68.40000153,0.868496716,0.188832819,0.681191266,0.826555312,0.268269062,0.386535019,0.677055538,1.552135468,0.408166667,0.610804379
Uruguay,2017,32,6.293,9.930685043,0.91380167,68.90000153,0.897851646,-0.101414755,0.626581967,0.835861266,0.280323356,0.413032115,1.114635468,0.737920344,0.427363636,0.399903923
Uzbekistan,2017,40,6.174,8.740833282,0.942131102,64.80000305,0.985177755,0.116510667,0.464641601,0.838989079,0.202737495,0.964690447,-1.037155151,-1.02081418,0.348,0.445986152
Venezuela,2017,104,4.707,9.439295769,0.895879328,66.30000305,0.635505021,-0.20603478,0.843969226,0.725642741,0.362984866,0.241123602,-1.195529699,-1.744198561,0.497166667,0.563206851
Vietnam,2017,91,5.175,8.727759361,0.806059738,67.69999695,0.781769704,-0.006738773,0.864433243,0.704992496,0.2912308,0.502155337,-0.548212826,-0.227276966,0.36275,0.466430068
Yemen,2017,142,3.38,7.814434355,0.789555013,55.90000153,0.595190763,-0.006738773,0.935444242,0.455181897,0.295063585,0.247786984,-2.326561928,-1.678789258,0.357,0.374521881
Zambia,2017,132,4.107,8.213178635,0.74375391,54.79999924,0.823168576,0.128904432,0.739540637,0.684623301,0.387188882,0.717004061,-0.114061393,-0.48838523,0.5274,0.612799227
Zimbabwe,2017,138,3.663,7.549490929,0.754147053,55,0.752826095,-0.069669798,0.751208007,0.806428373,0.224051341,0.682646692,-0.988153279,-1.350866795,0.432,0.581483781
